Français;Sésames;Chapitre;Nombre de traits;JLPT;Kanji;id;Lecture On;Autres sens (lecture On);Lecture Kun;Autres sens (lecture Kun)
cent millions;tintin, idée;26;15;2;億;120;oku;100,000,000;-;-
cérémonie;tintin, rigueur;26;15;1;儀;345;gi;rule/ ceremony/ case, affair, a matter ;-;-
compensation;tintin, premier prix;26;17;1;償;1006;shoo;make up for, recompense, redeem (one's faults), compensate for, indemnify, atone for;tsugu(nau);make up for, recompense, redeem (one's faults), compensate for, indemnify, atone for
ermite;tintin, montagne;26;5;1;仙;1168;sen;hermit, wizard;-;-
mécène/prendre en charge;ermite, dinde;26;13;1;催;711;sai;hold (a meeting)/ give (a dinner)/ feel/ show signs of, develop symptoms of, feel (sick) ;moyoo(su);hold (a meeting)/ give (a dinner)/ feel/ show signs of, develop symptoms of, feel (sick) 
vertu/humain;tintin, deux;26;4;1;仁;1072;jin, [ni];virtue, benevolence, humanity, charity/ man;-;-
mépriser;tintin, tous;26;8;1;侮;1759;bu;despise, make light of;anado(ru);despise, make light of
utiliser;tintin, préposé;26;8;4;使;777;shi;use/ messenger;tsuka(u);use/ handle, manipulate/ employ/ need, want/ spend, consume/ speak (English)/ practice (fencing)/ take (one's lunch)/ circulate (bad money)
commodité/excréments;tintin, encore plus;26;9;3;便;1815;ben, 	bin;convenience, facility/ excreta, stools/ evacuation. chance/ mail, letter ;tayo(ri);news, tidings/ connection 
doubler;tintin, muselière;26;10;2;倍;1623;bai;double, twice/ times, -fold;-;-
tendresse;tintin, mélancolie;26;17;3;優;1985;yuu;actor/ superiority/ gentleness;yasa(shii), sugu(reru);excel, surpass/ have advantages over/ be excellent. gentle, tender, graceful, affectionate, kind, amiable, suave 
abattre;tintin, hallebarde;26;6;1;伐;1651;batsu;strike, attack/ punish;-;-
auberge;tintin, maison, cent;26;11;3;宿;920;shuku;lodging, inn, post town, relay station, stage ;yado, yado(ru), yado(su);lodge, dwell, live in/ roost, be pregnant. keep (a guest)/ carry (a virus)/ conceive (a child). house, home, dwelling/ address/ inn, lodgings, shelter
blessure;tintin, couché, lumière solaire;26;13;1;傷;997;shoo;wound, injury;kizu, ita(mu), ita(meru);wound, injury, hurt/ cut, gash, bruise, scratch/ scar/ weak point. feel a pain/ be hurt, be damaged, be spoiled, be bruised, wear out, be worn out. injure, impair, spoil, worry, bother, afflict, cause pain
conserver;tintin, bouche, arbre;26;9;2;保;1818;ho;guarantee;tamo(tsu);keep, preserve, hold, retain, maintain/ support, sustain/ last, endure, keep well (food), wear well, be durable 
éloge;conservateur, chapeau haut de forme, écharpe;26;15;1;褒;1850;hoo;praise, extol;ho(meru);praise, commend
prouesse;tintin, pieds écartés, arbre;26;13;1;傑;511;ketsu;excellent;-;-
mettre;tintin, colle;26;5;3;付;1739;fu;give to, submit to, refer to/ affix, attach, append ;tsu(keru), tsu(ku);attach, join, stick, glue, fasten/ sew on/ furnish (a house with)/ wear, put on/ make an entry/ appraise, set (a price)/ apply (ointment)/ bring alongside/ place (under guard or a doctor)/ follow, shadow/ add, append, affix/ load/ give (courage to)/ keep (an eye on)/ establish (relations or understanding). be connected with/ be dyed/ be stained/ be scarred/ be recorded/ be attached to/ (fires) start/ follow/ become allied to/ accompany/ study with/ increase, be added to
ticket;bambou, mettre;26;11;2;符;1751;fu;sign, mark, tally/ charm, amulet;-;-
bureau du gouvernement;appentis, mettre;26;8;2;府;1742;fu;urban prefecture/ government office/ representative body/ storehouse;-;-
responsabilité;tintin, porteur;26;6;3;任;1587;nin;duty, responsibility/ office/ mission/ term ;maka(seru), maka(su);entrust to, leave to 
tarif;responsabilité, monnaie;26;13;2;賃;1425;chin;hire, rent, wages, fare, freight, charge, fee;-;-
substituer/montant d’argent/génération;tintin, fléchette;26;5;4;代;1313;dai, 	tai;period, age, generation/ charge, rate, fee, cost, price;ka(waru), ka(eru), yo, shiro;world, society, public/ life, existence, career, lifetime/ age, era, generation, times/ reign. change, turn, convert, exchange, renew, substitute, replace. relieve. price/ substitution
sacrifice;substituer, habit;26;11;2;袋;1304;tai;bag/ bag counter;fukuro;bag, sack, pouch
prêter/louer;substituer, monnaie;26;12;4;貸;1307;tai;lend/ hire out, rent, lease/ give credit to ;ka(su);lend/ hire out, rent, lease/ give credit to 
transformation;tintin, assis;26;4;3;化;132;ka, 	ke;influence/ bewitch, enchant, confuse, delude;ba(keru), ba(kasu); bewitch, enchant, confuse, delude/ appear in disguise
fleur;végétal, transformation;26;7;4;花;138;ka;flower;hana;flower, blossom/ cherry blossoms/ essence, spirit, pride/ pearl/ youth/ best days/ beautiful woman, flower arrangement/ flower-card game
fret;transformation, monnaie;26;11;2;貨;151;ka;property, freight, goods;-;-
incliner;transformation, tête;26;13;2;傾;488;kei;lean, incline, tilt, list, tip, careen, lurch;katamu(ku), katamu(keru);incline toward, tilt, slant, slope, lurch, heel over/ be disposed to/ trend toward, be prone to/ go down (sun)/ wane, sink, decline/ incline, list, bend, lean, tip, concentrate on/ devote to/ ruin/ squander/ empty
quoi;tintin, pouvoir;26;7;5;何;137;ka;what;nani, [nan];what
bagages;végétal, quoi;26;10;2;荷;148;ka;shoulder-pole load;ni;load, baggage, freight, cargo/ burden
avisé;tintin, mouvement décidé;26;9;1;俊;929;shun;excellence, genius;-;-
observateur;tintin, pigeon voyageur, debout, couronne;26;12;1;傍;1866;boo;side/ besides/ while;katawa(ra);side/ besides/ while
longtemps;emballage, être humain;26;3;2;久;360;kyuu, [ku];long, long continued, an old (story);hisa(shii);long, long continued, an old (story)
sillon;chapeau haut de forme, rizière, longtemps;26;10;1;畝;64;-;-;une;ridge (in a field), furrow, rib or cord (in cloth)
incarcéré;enceinte, tintin;26;5;1;囚;884;shuu;criminal, arrest;-;-
intérieur;tintin, ceinture;26;4;3;内;1570;nai, [dai];inside, interior, within, between, among. within, within the scope of ;uchi;inside, interior/ house, home/ within/ between, among, out of/ mind/ myself. inner 
troisième classe;plafond, tintin, ceinture;26;5;1;丙;1788;hei;C, third;-;-
manche/motif;arbre, troisième classe;26;9;1;柄;1793;hei;handle, crank, grip, hilt, shaft, knob, spoke (of steering wheel on a ship) ;gara, e;handle, crank, grip, hilt, shaft, knob, spoke (of steering wheel on a ship). pattern, design/ build/ character, nature 
chair, viande;intérieur;26;6;4;肉;1581;niku;flesh, muscles/ meat/ the flesh/ seal pad, ink pad/ thickness, succulence ;-;-
pourrir/corrompre;bureau du gouvernement, chair;26;14;1;腐;1754;fu;rot, decay/ turn sour/ fester/ corrode/ be corrupted/ feel gloomy ;kusa(ru), kusa(reru), kusa(rasu);rot, decay/ turn sour/ fester/ corrode/ be corrupted/ feel gloomy. let spoil, rot, corrode, addle 
s’accroupir;maison de campagne, chaîne d’assemblage;26;10;3;座;691;za;seat, cushion/ throne/ a gathering/ stand, pedestal, platform/ (metal) washer/ theater/ troupe/ constellation ;suwa(ru);squat down, sit down, (eyes) are fixed on 
fouler;doigt, accroupir;26;10;0;挫;692;za;crush, break, sprain, dislocate/ frustrate/ unnerve/ dampen(spirits);-;-
fin d’études;chapeau haut de forme, chaîne d’assemblage, aiguille;26;8;2;卒;1276;sotsu;graduate, soldier, private;-;-
parapluie;parapluie, double chaîne d’assemblage, aiguille;26;12;1;傘;751;san;umbrella, parasol;kasa;umbrella, parasol
monme;emballer, bras;27;4;1;匁;;-;monme, 3.75 grams, (kokuji) ;monme, me;
au moyen de;tintin, goutte, charrue;27;5;4;以;15;i;with, by, by means of/ because/ in view of;-;-
ressembler;tintin, au moyen de;27;7;3;似;812;ji;resemble;ni(ru);resemble
réunir/cependant;tintin, casse-tête;27;8;1;併;1791;hei;get together, unite ;awa(seru);get together, unite 
tuile/gramme;plafond, canne, crochet, glace;27;5;0;瓦;165;ga;tile;kawara;tile
bouteille;tuile, casse-tête;27;11;1;瓶;1735;bin;bottle, vial, jar, flask;-;-
palais;maison , grand bâtiment;27;10;1;宮;375;kyuu, guu, [ku];constellations (of the zodiac)/ palace;miya;Shinto shrine/ Imperial Palace/ prince, princess
mener;école, épine dorsale;27;12;2;営;73;ei;camp, performing;itona(mu);perform (ceremoies)/ build/ conduct (business)/ follow (a profession), operate  (a store)
bien;mouton, cornes, bouche;27;12;2;善;1198;zen;good, goodness, right, virtue;yo(i);good, good-natured/ pleasing/ precious/ noble/ lovely, beautiful, fine/ lucky/ efficacious/ right/ suitable/ justifiable/ appropriate, satisfactory/ better/ all right/ unnecessary/ no objection/ intimate, friendly/ easy/ well/ desirous 
couverts;bien, corps;27;16;0;膳;1202;zen;small low table/ tray;-;-
année;cheval, pieds écartés;27;6;5;年;1593;nen;year/ term of service;toshi;year/ age, time of life
nuit;chapeau haut de forme, tintin, jambes qui marchent, goutte;27;8;4;夜;1953;ya;night;yo, yoru;evening, night, nighttime/ at night 
liquide;eau, nuit;27;11;2;液;81;eki;liquid, fluid, juice, sap, secretion;-;-
butte;terre, couronne, truie;27;12;1;塚;1432;-;-;tsuka;mound, hillock, tumulus
espèces;miettes, serviette;27;15;1;幣;1797;hei;Shinto zigzag paper offerings/ bad habit/ humble prefix/ gift;-;-
défaut/impropre à tout usage;miettes, deux mains;27;15;1;弊;1798;hei;evil, abuse, vice, bad custom/ breakage/ our (humble)/ Shinto zigzag paper offering/ tribute ;-;
couvrir;végétal, miettes;27;15;0;蔽;1799;hei;cover, covering/ shade/ mantle, coat/ hood, bonnet/ casing/ awning;-;-
hurler;bouche, quatre, saint-bernard, emballés;27;12;1;喚;264;kan;cry, scream, yell, shout, clamor;-;-
échanger;doigt, quatre, saint-bernard, emballés;27;12;2;換;266;kan;change, turn, convert, exchange, renew, substitute, replace;ka(eru), ka(waru);change, turn, convert, exchange, renew, substitute, replace/ relieve
dissoudre;marmite à trépied, grenaille;27;16;1;融;1984;yuu;dissolve, melt;-;-
action/aumône;bannière, scorpion;28;9;1;施;787;shi, 	se;give alms/ conduct (educational work)/ carry out/ administer (first aid)/ apply (bandages)/ perform (an operation);hodoko(su);give alms/ conduct (educational work)/ carry out/ administer (first aid)/ apply (bandages)/ perform (an operation)
rotation;bannière, zoo;28;11;1;旋;1179;sen;go around;-;-
jouer;route, bannière, enfants;28;12;3;遊;1980;yuu, [yu];play/ enjoy oneself/ visit/ take a holiday/ be out of use, be unemployed, be idle/ study under/ go on a spree;aso(bu);play/ enjoy oneself/ visit/ take a holiday/ be out of use, be unemployed, be idle/ study under/ go on a spree
voyage;bannière, tintin, morceau de tissu;28;10;4;旅;2057;ryo;journey/ go around;tabi;journey
urine;fesses, eau;28;7;1;尿;1586;nyoo;urine;-;-
nonne;fesses, cuiller;28;5;1;尼;1578;ni;nun;ama;nun
fesses,cul,popotin,arrière-train,derrière;fesses, neuf;28;5;0;尻;1040;-;-;shiri;buttocks, hips/ rear or back of a person/ bottom(of a kettle)/ tail end, tag end
boue;eau, nonne;28;8;2;泥;1459;dei;mud, mire;doro;mud, mire, dirt, slush/ disgrace
barrière;terre, drapeau, casse-tête;28;12;1;塀;1796;hei;wall, fence;-;-
chausser/enfiler(pantalon)/expérience;fesses, retourner;28;15;1;履;2041;ri;trample on, stamp on/ carry through, practice/ appraise/ set foot on/ evade payment/ step on;ha(ku);put on (the feet)
toit;drapeau, aboutissements;28;9;4;屋;119;oku;house, roof;ya;shop, store/ seller, dealer/ business
s’agripper;doigt, toit;28;12;1;握;7;aku;grasp, hold/ make (sushi balls)/ assume (power)/ make (money)/ get (proof);nigi(ru);grasp, hold/ make (sushi balls)/ assume (power)/ make (money)/ get (proof)
se courber;fesses, sortir;28;8;1;屈;457;kutsu;bend, bend over/ give in, submit to, yield to/ flinch;-;-
creuser;doigt, se courber;28;11;2;掘;458;kutsu;dig, delve/ core/ excavate/ sink (wells)/ dig up/ scoop out/ pick (the ear)/ probe;ho(ru);dig, delve/ core/ excavate/ sink (wells)/ dig up/ scoop out/ pick (the ear)/ probe
canal;terre, se courber;28;11;1;堀;1885;-;-;hori;moat, canal, ditch
se trouver;drapeau, vieux;28;8;3;居;384;kyo;residence;i(ru);be, exist/ be found in, stay in/ inhabit/ live with, reside/ be present/ remain (sitting)
assise;doigt, se trouver;28;11;1;据;1098;-;-;su(eru), su(waru);set (a table)/ lay (a foundation)/ place (a gun)/ install, equip/ appoint (to a position). squat down, sit down, (eyes) are fixed on
ourlet/pied de la montagne;vêtement, se trouver;28;13;0;裾;1100;-;-;suso;cuff(of trousers)/ hem (of a skirt)/ foot (of a mountain)
strate;drapeau, augmenter;28;14;2;層;1244;soo;(social) class/ stratum, layer, seam, bed, formation/ story, floor/ course (of stones);-;-
local/bureau(de poste, de radio)/pièce(d’un palais);drapeau, phrase;28;7;3;局;425;kyoku;bureau, board, office/ central/ post office/ affair/ duty/ situation/ conclusion;-;-
retard;route, fesses, mouton;28;12;3;遅;1361;chi;be late, be delayed, be overdue/ lag behind/ (clocks) lose;oku(reru), oku(rasu), oso(i);be late, be delayed, be overdue/ lag behind/ (clocks) lose. retard, delay, defer. late/ slow 
fuite;eau, drapeau, pluie;28;14;1;漏;2123;roo;leaking/ water clock/ time;mo(ru), mo(reru), mo(rasu);leak, escape/ shine through/ find expression/ be disclosed/ be omitted, be excluded. spill, let leak/ omit, miss, leave out/ divulge/ betray/ give vent to, express/ let go 
imprimer;fesses, torchon, sabre;28;8;2;刷;735;satsu;print;su(ru);print
shaku;Aucun;28;4;1;尺;855;shaku;Japanese foot/ rule/ measure, scale/ length;-;-
épuiser;flûte shakuhachi, glace;28;6;1;尽;1073;jin;use up, run out of, exhaust/ serve, befriend, work for, endeavor, do (one's duty). last day of the month;tsu(kusu), tsu(kiru), tsu(kasu);use up, run out of, exhaust/ serve, befriend, work for, endeavor, do (one's duty). become exhausted, be consumed, spend, end
torrent;eau, 30,303 cm;28;7;1;沢;1320;taku;swamp/ blessing;sawa;swamp, marsh, dale, valley
traduire/excuse;mots, 30,303 cm;28;11;1;訳;1959;yaku;translation;wake;meaning, sense/ reason, cause/ circumstances, the case/ understanding (between them) 
choisir;doigt, flûte shakuhachi;28;7;1;択;1319;taku;choose, select/ cull out/ elect/ prefer/ decide on;-;-
journée;flûte shakuhachi, point du jour;28;9;4;昼;1384;chuu;daytime, midday;hiru;daytime, midday, noon
porte;plafond, drapeau;28;4;2;戸;558;ko;house/ door/ family/ counter for houses;to;door
épaule;porte, partie du corps;28;8;2;肩;518;ken;shoulder;kata;shoulder
atelier/pompon/grappe;porte, boussole;28;8;1;房;1859;boo;house, room/ tassel;fusa;tuft, tassel, fringe/ lock (of hair)/ cluster, bunch, segment (of an orange)
ventilateur;porte, plumes;28;10;1;扇;1177;sen;fan;oogi;folding fan
four;feu, porte;28;8;1;炉;2111;ro;furnace, kiln, hearth/ (nuclear) reactor;-;-
revenir;porte, saint-bernard;28;7;3;戻;2091;rei;return, turn back/ revert to, resume, return to/ be returned/ go backward ;modo(ru), modo(su);return, turn back/ revert to, resume, return to/ be returned/ go backward. restore/ turn back (a clock)/ reject/ vomit 
larme;eau, porte, saint-bernard;28;10;2;涙;2083;rui;tear, sympathy;namida;tear, sympathy
employer;porte, dinde;28;12;2;雇;571;ko;employ, hire;yato(u);employ, hire
examiner;employer, tête;28;21;1;顧;575;ko;look back/ turn around, look back upon, review/ examine oneself/ take notice of;kaeri(miru);look back/ turn around, look back upon, review/ examine oneself/ take notice of
révéler;porte, chef de corvée, bouche;28;11;1;啓;480;kei;open, say;-;-
montrer;deux, petit;29;5;3;示;806;ji, 	shi;indication;shime(su);show, indicate, point out, give (an example), signify, display, express
salut;autel, hameçon;29;5;3;礼;2088;rei, 	rai;salutation, salute, bow, courtesy, propriety, ceremony, thanks, appreciation, remuneration, return present ;-;-
bonnes auspices;autel, mouton;29;10;1;祥;978;shoo;happiness;-;-
célébrer;autel, adolescent;29;9;2;祝;919;shuku, [shuu];celebration, congratulations, ;iwa(u);celebration, festival, congratulations 
bonheur;autel, abondance;29;13;3;福;1770;fuku;fortune, blessing, luck, wealth/ food which has been offered to gods;-;-
bien-être;autel, arrêt;29;8;1;祉;782;shi;happiness;-;-
temple shintoïste;autel, terre;29;7;4;社;842;sha;Shinto shrine/ association/ firm, company, office ;yashiro;Shinto shrine
inspection;autel, voir;29;11;1;視;792;shi;regard as;-;-
Nara;autel, grand;29;8;1;奈;1569;na;what;-;-
officier;fesses, collé, autel;29;11;1;尉;26;i;jailer/ old man/ rank/ company officer;-;-
réconfort;officier, sentiments;29;15;1;慰;36;i;amuse oneself/ make sport of/ seduce;nagusa(meru), nagusa(mu);amuse oneself/ make sport of/ seduce/ comfort, console, cheer
clause;vieux professeur, autel, bailler;29;12;1;款;269;kan;article, section/ goodwill, friendship/ collusion;-;-
interdiction;bois, autel;29;13;2;禁;438;kin;prohibition, ban, embargo/ law;-;-
nuque;habit, interdiction;29;18;1;襟;442;kin;neck, neckband, collar, lapel;eri;neck, neckband, collar, lapel
religion;maison, autel;29;8;1;宗;889;shuu, 	soo;religion, sect, denomination;-;-
adoration;montagne, religion;29;11;1;崇;1096;suu;high;-;-
indice;pied, religion;29;15;0;踪;1248;soo;remains (of something)/ clue, footprint;-;-
rituel;chair découpée, main droite, autel;29;11;2;祭;704;sai;offer prayers/ celebrate/ deify/ enshrine/ worship;matsu(ru), matsu(ri);offer prayers/ celebrate/ deify/ enshrine/ worship. festival, feast
supposition;maison, rituel;29;14;3;察;739;satsu;presume, surmise/ judge/ realize, understand/ imaging, suppose/ sympathize with ;-;-
friction;doigt, supposition;29;17;1;擦;741;satsu;rub, scour, scrub, scratch, scrape, brush ;su(ru), su(reru);rub, chafe/ strike (a match)/ frost (glass). wear/ become sophisticated 
c’est pourquoi/raison/essence;cerveau;29;5;3;由;1963;yu, yuu, [yui];depend on;yoshi;reason, cause, significance/ means, way/ effect/ point/ intent 
extraire;doigt, mortier;29;8;1;抽;1382;chuu;pull/ extract/ excel;-;-
huile;eau, mortier;29;8;2;油;1964;yu;oil;abura;oil
manche de vêtement;manteau, mortier;29;10;0;袖;894;shuu;sleeve, sleeve pocket/ wing(of a building)/ extension(of a table);sode;sleeve, sleeve pocket/ wing(of a building)/ extension(of a table)
univers;maison, mortier;29;8;1;宙;1380;chuu;air, space, mid-air, sky, heaven/ memorization/ interval of time;-;-
remettre;fesses, mortier;29;8;2;届;1560;-;-;todo(keru), todo(ku);reach, arrive, be received/ be attentive, be realized. report, notice/ forwarding, delivery 
flûte;bambou, raison;29;11;1;笛;1461;teki;flute;fue;flute, pipe, clarinet, whistle, fife, pitch pipe, bagpipe, piccolo
axe;voiture, raison;29;12;1;軸;828;jiku;axis/ axle/ spindle/ shaft/ pivot/ stem, stalk/ (pen) holder/ scroll picture ;-;-
carapace;rizière;29;5;1;甲;595;koo, 	kan;high (voice). first class/ former/ back (of the hand)/ instep/ armor/ shell, tortoise shell, carapace;-;-
appuyer;doigt, carapace;29;8;3;押;110;oo;push, shove/ press, squash, compress/ stamp, seal/ do in spite of;o(su), o(saeru);push, shove/ press, squash, compress/ stamp, seal/ do in spite of/ stop, check, restrain, pin down/ suppress, subdue, control/ catch, arrest/ govern/ stop (the ears)/ withhold/ attach, seize/ secure (evidence), estimate conservatively
avancée;montagne, carapace;29;8;1;岬;1913;-;-;misaki;cape, spit, promontory
insérer;mille, doigt, carapace;29;10;1;挿;1229;soo;insert, put in/ graft (a branch)/ wear (a sword)/ carry (in the belt);sa(su);insert, put in/ graft (a branch)/ wear (a sword)/ carry (in the belt)
je vous dis/signe du singe;langue qui s’agite dans la bouche;29;5;3;申;1042;shin;have the honor to/ say, tell, talk, speak, declare/ call, term, name;moo(su);have the honor to/ say, tell, talk, speak, declare/ call, term, name
étirer;tintin, singe;29;7;2;伸;1043;shin;stretching;no(biru), no(basu), no(beru);extend, lengthen, stretch, spread/ be postponed/ increase/ grow/ progress, develop/ be straightened, be flattened, be smoothed/ be exhausted. let (nails) grow/ straighten/ uncoil/ spread out/ reach out/ postpone/ dilute/ smooth out/ develop (talents)/ amass (riches). make (a bed)/ widen 
mézigue/première personne(masculin,vulgaire);tintin, grand, singe(+queue);29;10;0;俺;125;-;-;ore;I
divinité;autel, je vous dis;29;9;3;神;1051;shin, 	jin;god, deity/ mind, soul;kami, [kan], [koo];God, god, Allah
fouiller;doigt, singe, main droite;29;10;2;捜;1228;soo;search, look for, locate/ glean;saga(su);search, look for, locate/ glean
fruit/le but est atteint;cerveau, arbre;29;8;3;果;141;ka;fruit, reward;ha(tasu), ha(teru), ha(te);carry out, achieve, complete/ realize, perform, fulfill/ end, be finished, be exhausted/ die, perish/ limit, bounds, extremity, result/ fate
friandise;végétal, fruit;29;11;2;菓;150;ka;cakes/ fruit;-;-
leçon;mots, fruit;29;15;2;課;162;ka;lesson/ section, department/ allotment, division;-;-
nu;manteau, fruit;29;13;1;裸;2020;ra;naked body, nude/ uncovered, only partially clothed, undressed/ without investing/ leafless/ unpreparedness (for a wedding)/ unsaddled/ denuded, bare ;hadaka;naked body, nude/ uncovered, only partially clothed, undressed/ without investing/ leafless/ unpreparedness (for a wedding)/ unsaddled/ denuded, bare 
hérisson/assemblage/rassembler;mutuel, couronne, fruit;29;13;0;彙;32;i;same kind;-;-
hache/600 g;Aucun;30;4;1;斤;429;kin;1.1/3 pounds, catty/ axe;-;-
analyser;arbre, hache;30;8;1;析;1143;seki;divide/ tear/ analyze;-;-
près;route, hache;30;7;4;近;431;kin;early, immediate/ near, short (road), close by/ akin to/ nearby, bordering on, verge of, tantamount to/ intimate, friendly;chika(i);early, immediate/ near, short (road), close by/ akin to/ nearby, bordering on, verge of, tantamount to/ intimate, friendly
lieu;porte, hache;30;8;3;所;945;sho;place;tokoro;place, spot, scene, site, seat/ locality, district/ room/ distance/ address/ point, feature/ passage (in a book), part/ thing/ time, moment/ extent/ matter of course 
prier;autel, hache;30;8;2;祈;311;ki;pray/ wish;ino(ru);pray/ wish
plier/s’écarter du droit chemin/diffracter;doigt, hache;30;7;3;折;1155;setsu;break, snap, fracture, knock out (teeth)/ fold, turn down/ bend/ make (a paper toy)/ yield (oneself), give in;o(ru), ori, o(reru);break, snap, fracture, knock out (teeth)/ fold, turn down/ bend/ make (a paper toy)/ yield (oneself), give in. breaking/ small food box/ time, occasion, juncture/ opportunity. snap, break/ be folded/ submit/ turn (to the left or right)
philosophie;plier, bouche;30;10;1;哲;1468;tetsu;clear;-;-
défunt;route, plier;30;10;1;逝;1122;sei;die, pass away;yu(ku), i(ku);die, pass away
jurer;plier, mots;30;14;1;誓;1132;sei;swear, plegde, vow;chika(u);swear, plegde, vow
décapiter;voiture, hache;30;11;0;斬;757;zan;beheading;ki(ru);kill/ cut
un certain temps;décapiter, journée;30;15;1;暫;758;zan;for a while, for a moment/ for a long time;-;-
finalement/graduellement;eau, décapiter;30;14;1;漸;1201;zen;gradually advancing;-;-
refus/décision;riz, hameçon, hache;30;11;3;断;1350;dan;decision, judgment/ cutting;ta(tsu), kotowa(ru);sever, cut off/ shut off, interrupt/ abstain from/ eradicate/ suppress. decline, refuse/ apologize/ give notice/ warn/ dismiss/ prohibit 
substance;hache, hache, huître;30;15;4;質;838;shitsu, shichi, [chi];substance, matter, quality, temperament. hostage, pawn, pledge, hock ;-;-
rejeter;hache, goutte;30;5;1;斥;1139;seki;retreat, recede, withdraw;-;-
plainte;mots, rejeter;30;12;1;訴;1213;so;sue/ complain of (pain)/ appeal to/ have recourse to;utta(eru);sue/ complain of (pain)/ appeal to/ have recourse to
hier;jour, scie;30;9;3;昨;725;saku;the past/ yesterday, last (year);-;-
tromper;mots, scie;30;12;1;詐;689;sa;lie, falsify/ deceive/ pretend/ deceive, cheat ;-;-
fabriquer;tintin, scie;30;7;4;作;723;saku, 	sa;a work, a production/ tillage/ harvest/ ridge (in a field) ;tsuku(ru);a work, a production/ tillage/ harvest/ ridge (in a field) 
neige;balai, pluie;30;11;3;雪;1160;setsu;snow, snowfall;yuki;snow, snowfall
enregistrer;métal, balai, irrigation;30;16;2;録;2126;roku;record;-;-
écorcer;balai, eau d’irrigation, sabre;30;10;0;剥;1635;haku;come off, peel off, be worn off/ fade, discolor;ha(gasu), ha(gu), ha(gareru), ha(geru);come off, peel off, be worn off/ fade, discolor/ rip off, strip off/ skin, flay/ disrobe/ deprive of
questionner/envergure;balai, travail, bouche, collé;30;12;1;尋;1077;jin;fathom;tazu(neru);look for, inquire for, ask (someone) a question
urgence;emballé, balai, sentiments;30;9;4;急;372;kyuu;emergency/ suddenness/ danger/ haste/ steep;iso(gu);hurry, hasten
intrusion;tintin, balai, couronne, main droite;30;9;1;侵;1048;shin;invate, raid/ violate, trespass, intrude on;oka(su);invate, raid/ violate, trespass, intrude on
immersion;eau, intrusion;30;10;1;浸;1055;shin;soak, dip, steep, immerse, moisten, wet, dunk, drench;hita(su), hita(ru);soak, dip, steep, immerse, moisten, wet, dunk, drench. be soaked in, be immersed in, be flooded, be submerged/ be bathed in/ be addicted to 
coucher;maison, madrier, intrusion;30;13;3;寝;1063;shin;sleeping/ resting/ bed;ne(ru), ne(kasu);sleep/ retire/ be bedridden/ lie down/ lie idle/ remain unsold. put to sleep/ send to bed/ lay down, let lie idle
femme mariée;femme, balai, tablier;30;11;3;婦;1750;fu;woman/ wife/ bride;-;-
balayer;doigt, balai, tablier;30;11;2;掃;1232;soo;sweep/ brush/ gather up;ha(ku);sweep/ brush/ gather up
frapper(juste);petit, balai;30;6;3;当;1501;too;right, appropriateness, fairness/ himself/ itself/ at the time ;a(taru), a(teru);hit, strike, dash into/ touch/ shine on/ guess right, be fulfilled/ succeed/ confront/ lie (to the south)/ treat/ fell out/ undertake/ be worth/ correspond to/ be related to/ apply to/ draw (a prize)/ be assigned to/ be affected by/ be spoiling/ be exposed to/ warm oneself/ shave/ grind/ this coming (15th)/ turn out well/ take well/ be punished (by heaven)/ stand to reason/ deal with/ engage (the enemy)/ need not to (with negative)/ have (one's turn)/ be charged with. apply, place, put/ hit (the mark)/ guess/ succeed/ expose to/ sit (on a cushion)/ assign, allocate/ call on (a pupil) 
querelle;emballage, râteau;30;6;3;争;1220;soo;dispute, argue/ be at variance/ compete;araso(u);dispute, argue, be at variance, compete
nettoyer;eau, querelle;30;9;1;浄;1016;joo;clean, clear/ pure, innocent, noble;-;-
fait;un, bouche, râteau;30;8;4;事;814;ji, [zu];thing, matter;koto;thing, matter, fact, circumstances, business, reason, experience
Tang/armée de terre cuite;appentis, râteau, bouche;30;10;0;唐;1509;too;Tang (dynasty)/ China/ foreign countries. Chinese/ Korean/ Foreign;kara;China/ Cathay/ Korea/ Foreign countries. Chinese/ Korean/ Foreign
sucre;riz, armée de terre cuite;30;16;1;糖;1530;too;sugar;-;-
tranquille;appentis, tamis;30;11;2;康;629;koo;peace;-;-
appréhender;route, tamis;30;11;1;逮;1305;tai;chase;-;-
esclave;vieux professeur, autel, tamis;30;16;1;隷;2096;rei;servant/ criminal/ prisoner/ follower;-;-
Italie;tintin, lave-pont;30;6;1;伊;;i;Italy, that one ;kare;
jeune homme;lave-pont, bouche;30;7;3;君;462;kun;mister (familiar);kimi;you (familiar)/ ruler
troupeau;jeune homme, mouton;30;13;2;群;468;gun;group, crowd, gang, herd, swarm, flock/ common run;mu(reru), mu(re), [mura];crowd, flock, swarm/ group, herd, bevy, school/ cluster (of stars)/ clump/ swarming
à l’épreuve de;peigne, colle;30;9;1;耐;1296;tai;enduring;ta(eru);endure/ support/ withstand, resist, brave, weather/ be fit for, be equal to
demande;peigne, pluie;30;14;1;需;880;ju;request, need;-;-
confucéen;tintin, demande;30;16;1;儒;881;ju;Confucianism/ Confucianist/ Chinese scholar;-;-
bord;vase, montagne, peigne;30;14;1;端;1343;tan;origin/ end/ point;hashi, ha, hata;end, tip/ edge, border, one side/ corner/ beginning/ scrap of cloth. side
